iter	Passed	Remaining
232	4709	35712
233	4729	35695
234	4751	35683
235	4772	35675
236	4794	35666
237	4816	35658
238	4836	35634
239	4859	35634
240	4881	35628
241	4901	35607
242	4922	35590
243	4944	35581
244	4964	35559
245	4985	35544
246	5008	35544
247	5027	35518
248	5048	35499
249	5070	35492
250	5093	35492
251	5114	35478
252	5136	35466
253	5156	35442
254	5176	35420
255	5198	35413
256	5219	35397
257	5239	35375
258	5259	35357
259	5279	35330
260	5300	35314
261	5322	35309
262	5343	35293
263	5363	35268
264	5384	35252
265	5404	35233
266	5427	35228
267	5448	35211
268	5469	35195
269	5491	35183
270	5511	35164
271	5531	35142
272	5552	35124
273	5573	35110
274	5596	35102
275	5615	35077
276	5635	35053
277	5653	35021
278	5676	35012
279	5697	35000
280	5718	34982
281	5738	34962
282	5758	34940
283	5779	34919
284	5801	34913
285	5823	34902
286	5845	34887
287	5868	34882
288	5888	34860
289	5910	34849
290	5932	34843
291	5954	34830
292	5977	34825
293	5999	34811
294	6017	34781
295	6038	34760
296	6057	34735
297	6077	34711
298	6098	34696
299	6121	34686
300	6141	34667
301	6162	34651
302	6183	34631
303	6205	34618
304	6225	34595
305	6246	34581
306	6266	34556
307	6287	34541
308	6309	34527
309	6330	34513
310	6351	34493
311	6373	34481
312	6393	34457
313	6413	34438
314	6434	34419
315	6456	34406
316	6477	34388
317	6498	34371
318	6519	34354
319	6540	34335
320	6560	34316
321	6581	34296
322	6602	34277
323	6624	34267
324	6644	34247
325	6665	34228
326	6686	34207
327	6708	34198
328	6730	34186
329	6751	34169
330	6772	34148
331	6795	34139
332	6815	34117
333	6835	34094
334	6856	34079
335	6878	34065
336	6900	34052
337	6920	34030
338	6942	34014
339	6962	33995
340	6984	33982
341	7005	33963
342	7027	33948
343	7047	33924
344	7067	33905
345	7087	33881
346	7109	33868
347	7129	33842
348	7150	33827
349	7172	33812
350	7192	33790
351	7213	33774
352	7236	33763
353	7258	33748
354	7278	33725
355	7299	33710
356	7321	33694
357	7341	33674
358	7364	33663
359	7384	33638
360	7404	33617
361	7426	33602
362	7445	33576
363	7467	33561
364	7487	33538
365	7505	33509
366	7527	33496
367	7550	33483
368	7570	33464
369	7592	33445
370	7613	33429
371	7633	33408
372	7654	33387
373	7674	33364
374	7695	33347
375	7715	33325
376	7735	33303
377	7756	33284
378	7778	33268
379	7800	33253
380	7820	33230
381	7841	33212
382	7862	33193
383	7884	33178
384	7905	33160
385	7925	33139
386	7947	33124
387	7968	33106
388	7989	33089
389	8009	33065
390	8030	33046
391	8052	33032
392	8071	33005
393	8090	32979
394	8110	32954
395	8132	32942
396	8153	32922
397	8174	32905
398	8193	32876
399	8214	32856
400	8234	32835
401	8254	32813
402	8275	32794
403	8298	32781
404	8320	32766
405	8339	32741
406	8359	32717
407	8380	32700
408	8401	32683
409	8423	32668
410	8444	32648
411	8465	32629
412	8485	32606
413	8508	32593
414	8528	32572
415	8548	32549
416	8568	32526
417	8589	32508
418	8609	32484
419	8630	32467
420	8651	32449
421	8673	32431
422	8693	32409
423	8713	32387
424	8734	32369
425	8755	32348
426	8776	32332
427	8797	32310
428	8819	32296
429	8840	32279
430	8861	32258
431	8881	32234
432	8900	32211
433	8920	32189
434	8941	32168
435	8963	32152
436	8985	32137
437	9004	32111
438	9025	32094
439	9044	32066
440	9063	32042
441	9086	32028
442	9106	32007
443	9126	31982
444	9146	31960
445	9168	31946
446	9188	31923
447	9209	31904
448	9231	31887
449	9251	31866
450	9270	31841
451	9293	31826
452	9311	31800
453	9333	31782
454	9353	31760
455	9374	31741
456	9394	31719
457	9413	31692
458	9434	31673
459	9453	31649
460	9475	31632
461	9495	31611
462	9515	31587
463	9537	31572
464	9559	31555
465	9578	31531
466	9598	31508
467	9619	31487
468	9640	31469
469	9660	31446
470	9681	31428
471	9703	31412
472	9723	31391
473	9744	31373
474	9766	31354
475	9786	31334
476	9806	31309
477	9826	31288
478	9846	31267
479	9867	31248
480	9889	31230
481	9910	31210
482	9931	31194
483	9953	31175
484	9975	31159
485	9996	31141
486	10018	31124
487	10040	31108
488	10059	31084
489	10080	31065
490	10101	31043
491	10121	31023
492	10141	31001
493	10163	30983
494	10182	30958
495	10201	30934
496	10221	30910
497	10242	30892
498	10263	30872
499	10284	30854
500	10305	30834
501	10327	30816
502	10348	30799
503	10368	30775
504	10389	30756
505	10410	30737
506	10432	30720
507	10453	30703
508	10474	30682
509	10494	30660
510	10515	30642
511	10535	30618
512	10557	30603
513	10577	30578
514	10596	30556
515	10618	30537
516	10637	30514
517	10659	30497
518	10680	30476
519	10700	30454
520	10721	30435
521	10743	30419
522	10764	30398
523	10786	30382
524	10806	30360
525	10826	30339
526	10846	30316
527	10866	30294
528	10888	30277
529	10909	30259
530	10930	30239
531	10952	30222
532	10974	30204
533	10996	30188
534	11017	30168
535	11039	30151
536	11059	30129
537	11080	30110
538	11101	30091
539	11122	30071
540	11144	30056
541	11165	30036
542	11185	30013
543	11207	29995
544	11227	29974
545	11247	29953
546	11268	29933
547	11291	29917
548	11312	29898
549	11333	29879
550	11356	29864
551	11377	29845
552	11400	29830
553	11420	29808
554	11439	29783
555	11459	29762
556	11478	29737
557	11500	29719
558	11519	29695
559	11538	29671
560	11560	29652
561	11581	29633
562	11602	29613
563	11622	29591
564	11644	29575
565	11664	29553
566	11685	29533
567	11706	29512
568	11726	29491
569	11747	29471
570	11768	29452
571	11789	29433
572	11811	29414
573	11833	29397
574	11854	29378
575	11875	29360
576	11897	29341
577	11919	29324
578	11940	29304
579	11960	29282
580	11981	29262
581	12003	29245
582	12024	29225
583	12045	29206
584	12066	29185
585	12085	29161
586	12105	29139
587	12125	29117
588	12146	29099
589	12165	29074
590	12187	29056
591	12205	29029
592	12225	29008
593	12244	28981
594	12265	28963
595	12287	28945
596	12306	28921
597	12327	28901
598	12347	28879
599	12369	28862
600	12390	28841
601	12411	28822
602	12432	28802
603	12451	28779
604	12472	28757
605	12492	28736
606	12513	28718
607	12535	28698
608	12555	28676
609	12575	28655
610	12595	28632
611	12614	28608
612	12636	28590
613	12656	28569
614	12676	28547
615	12696	28526
616	12715	28501
617	12735	28479
618	12755	28457
619	12776	28438
620	12798	28419
621	12818	28398
622	12837	28375
623	12859	28356
624	12878	28331
625	12900	28314
626	12920	28293
627	12943	28276
628	12963	28255
629	12984	28235
630	13004	28213
631	13025	28193
632	13045	28171
633	13066	28152
634	13086	28130
635	13105	28106
636	13126	28087
637	13146	28064
638	13166	28043
639	13186	28021
640	13207	28001
641	13228	27982
642	13248	27960
643	13268	27937
644	13289	27917
645	13308	27894
646	13328	27872
647	13349	27853
648	13371	27834
649	13391	27813
650	13411	27792
651	13433	27773
652	13453	27752
653	13473	27730
654	13496	27713
655	13516	27691
656	13536	27670
657	13555	27647
658	13577	27628
659	13597	27607
660	13619	27588
661	13640	27569
662	13659	27545
663	13680	27526
664	13702	27507
665	13721	27483
666	13740	27459
667	13760	27438
668	13781	27418
669	13803	27400
670	13823	27379
671	13845	27361
672	13867	27343
673	13889	27325
674	13910	27305
675	13930	27283
676	13952	27265
677	13972	27244
678	13995	27228
679	14015	27206
680	14036	27187
681	14058	27169
682	14080	27150
683	14102	27132
684	14124	27114
685	14146	27096
686	14168	27079
687	14189	27058
688	14212	27042
689	14233	27023
690	14254	27002
691	14275	26982
692	14296	26962
693	14318	26944
694	14338	26924
695	14359	26903
696	14380	26883
697	14400	26861
698	14420	26840
699	14441	26819
700	14462	26800
701	14485	26782
702	14504	26760
703	14526	26742
704	14545	26718
705	14565	26696
706	14586	26676
707	14608	26657
708	14630	26639
709	14651	26621
710	14671	26598
711	14693	26580
712	14714	26560
713	14736	26542
714	14757	26522
715	14780	26505
716	14800	26484
717	14821	26463
718	14840	26441
719	14860	26418
720	14880	26397
721	14901	26376
722	14922	26357
723	14944	26338
724	14964	26317
725	14987	26299
726	15005	26275
727	15026	26254
728	15047	26235
729	15068	26215
730	15088	26192
731	15108	26172
732	15128	26150
733	15151	26133
734	15171	26111
735	15191	26088
736	15212	26069
737	15233	26049
738	15255	26030
739	15275	26009
740	15297	25990
741	15318	25970
742	15338	25948
743	15359	25928
744	15379	25907
