iter	MAE
554	184508.679
555	184440.1599
556	183115.1973
557	183081.0285
558	182972.0377
559	182839.5079
560	182698.8319
561	182672.108
562	182637.8271
563	182626.2562
564	182563.3075
565	182535.6394
566	182507.7999
567	182485.0775
568	182472.5518
569	182456.4257
570	182433.1588
571	182414.6176
572	182387.7478
573	182361.5913
574	182339.8246
575	182186.0437
576	182161.7917
577	182117.4045
578	182045.2834
579	181371.1814
580	181192.5458
581	181150.218
582	181124.5128
583	181090.8192
584	180475.4319
585	178143.0825
586	178116.1602
587	177987.8105
588	177937.4397
589	177788.7992
590	177745.0365
591	176306.565
592	176020.874
593	174261.0501
594	174223.8133
595	174191.1744
596	174039.3366
597	174011.6949
598	173920.8746
599	173878.198
600	173804.8337
601	173764.2769
602	173720.0081
603	173487.1532
604	173417.4449
605	173393.6357
606	173367.2029
607	173328.694
608	173277.2453
609	173248.4288
610	173237.2766
611	172288.6406
612	172253.5029
613	172054.0597
614	172013.9327
615	172000.3082
616	171597.2665
617	171578.9408
618	171564.0704
619	171540.9698
620	171501.8303
621	171493.7902
622	171461.0328
623	171431.1187
624	171308.7041
625	171270.064
626	171180.7702
627	171138.5222
628	171125.7501
629	171098.2123
630	171071.5333
631	171041.878
632	171024.3197
633	170983.4819
634	170959.3444
635	170782.2812
636	170765.0394
637	170751.3008
638	170718.1494
639	170699.6186
640	170676.747
641	170615.8611
642	170516.8347
643	170338.9813
644	170325.9709
645	170194.4179
646	170175.6425
647	170152.8574
648	170138.8952
649	170126.1546
650	170080.6617
651	170048.6175
652	170028.5045
653	169942.294
654	169911.942
655	169804.369
656	169784.6352
657	169687.0362
658	169663.1617
659	169566.0838
660	169531.7933
661	169512.4389
662	169503.0738
663	169473.3971
664	169450.0459
665	168442.4974
666	168227.2242
667	168200.8855
668	168066.0448
669	168008.9334
670	167990.4729
671	167971.395
672	167934.7613
673	167917.5992
674	167909.5625
675	167796.6779
676	167774.5517
677	167756.4905
678	167737.1713
679	167693.5459
680	167674.8319
681	167659.1347
682	167634.9108
683	167600.3482
684	167561.7062
685	167527.8816
686	167502.1114
687	167494.4886
688	167446.1517
689	167435.9853
690	167427.5218
691	167412.5907
692	167403.1856
693	167381.9346
694	167363.5259
695	167348.0659
696	167336.382
697	167255.8857
698	167196.5073
699	167116.1962
700	167096.4243
701	167056.2943
702	166935.5196
703	166915.5464
704	165762.4406
705	165677.2498
706	165669.8533
707	165641.8151
708	165609.3693
709	165593.5597
710	165577.7876
711	165560.6873
712	165547.8109
713	165533.0955
714	165517.1748
715	165499.08
716	165479.5475
717	165390.9341
718	165306.7486
719	165300.0356
720	165288.8221
721	165208.1933
722	165190.692
723	165174.9912
724	165160.6492
725	165130.7305
726	164241.0523
727	164234.5202
728	164125.5526
729	164111.2438
730	164105.1294
731	164102.4719
732	164084.0826
733	164057.9959
734	164038.565
735	163248.129
736	163238.8283
737	163220.1796
738	163196.1931
739	163131.2284
740	163102.6986
741	163031.8526
742	163013.7335
743	163004.6736
744	162997.7937
